year,sex,age,suicides_no
2006,0,15,3.0
2007,1,15,1.0
2007,0,15,2.0
2008,1,15,0.0
2008,0,15,2.0
2009,1,15,3.0
2009,0,15,5.0
2010,1,15,0.0
2010,0,15,2.0
2011,1,15,4.0
2011,0,15,9.0
2012,1,15,2.0
2012,0,15,1.0
2013,1,15,1.0
2013,0,15,4.0
2014,1,15,2.0
2014,0,15,2.0
2015,1,15,1.0
2015,0,15,2.0
1980,1,15,0.0
1980,0,15,0.0
1981,1,15,142.0
1981,0,15,142.0
1982,1,15,142.0
1982,0,15,142.0
1983,1,15,0.0
1983,0,15,1.0
1984,1,15,0.0
1984,0,15,0.0
1985,1,15,0.0
1985,0,15,0.0
1986,1,15,0.0
1986,0,15,1.0
1987,1,15,0.0
1987,0,15,0.0
1988,1,15,1.0
1988,0,15,0.0
1989,1,15,0.0
1989,0,15,0.0
1990,1,15,0.0
1990,0,15,0.0
1991,1,15,0.0
1991,0,15,0.0
1992,1,15,0.0
1992,0,15,0.0
1993,1,15,0.0
1993,0,15,0.0
1994,1,15,0.0
1994,0,15,0.0
1995,1,15,0.0
1995,0,15,0.0
1996,1,15,1.0
1996,0,15,0.0
1997,1,15,0.0
1997,0,15,0.0
1998,1,15,0.0
1998,0,15,0.0
1999,1,15,0.0
1999,0,15,0.0
2000,1,15,0.0
2000,0,15,0.0
2001,1,15,0.0
2001,0,15,0.0
2002,1,15,0.0
2002,0,15,0.0
2003,1,15,0.0
2003,0,15,0.0
2004,1,15,0.0
2004,0,15,0.0
2005,1,15,0.0
2005,0,15,0.0
2006,1,15,0.0
2006,0,15,0.0
2007,1,15,0.0
2007,0,15,0.0
2008,1,15,0.0
2008,0,15,0.0
2009,1,15,0.0
2009,0,15,0.0
2010,1,15,0.0
2010,0,15,0.0
2011,1,15,0.0
2011,0,15,0.0
2012,1,15,0.0
2012,0,15,1.0
2013,1,15,0.0
2013,0,15,0.0
2014,1,15,0.0
2014,0,15,0.0
2015,1,15,0.0
2015,0,15,0.0
2000,1,15,1.0
2000,0,15,2.0
2001,1,15,0.0
2001,0,15,1.0
2002,1,15,1.0
2002,0,15,3.0
2003,1,15,1.0
2003,0,15,4.0
1985,1,15,21.0
1985,0,15,65.0
1986,1,15,22.0
1986,0,15,62.0
1987,1,15,18.0
1987,0,15,52.0
1988,1,15,15.0
1988,0,15,41.0
1989,1,15,15.0
1989,0,15,60.0
1990,1,15,11.0
1990,0,15,65.0
1991,1,15,16.0
1991,0,15,98.0
2010,1,15,142.0
2010,0,15,142.0
2011,1,15,0.0
2011,0,15,0.0
2012,1,15,142.0
2012,0,15,142.0
2014,1,15,2.0
2014,0,15,6.0
1979,1,15,385.0
1979,0,15,568.0
1980,1,15,410.0
1980,0,15,597.0
1981,1,15,439.0
1981,0,15,729.0
1982,1,15,374.0
1982,0,15,675.0
1983,1,15,435.0
1983,0,15,715.0
1984,1,15,346.0
1984,0,15,681.0
1985,1,15,280.0
1985,0,15,661.0
1986,1,15,331.0
1986,0,15,685.0
1987,1,15,291.0
1987,0,15,713.0
1988,1,15,281.0
1988,0,15,663.0
1989,1,15,261.0
1989,0,15,722.0
1990,1,15,304.0
1990,0,15,731.0
1991,1,15,303.0
1991,0,15,771.0
1992,1,15,283.0
1992,0,15,816.0
1993,1,15,334.0
1993,0,15,917.0
1994,1,15,372.0
1994,0,15,988.0
1995,1,15,347.0
1995,0,15,1084.0
1996,1,15,347.0
1996,0,15,1164.0
1997,1,15,327.0
1997,0,15,1102.0
1998,1,15,364.0
1998,0,15,1089.0
1999,1,15,281.0
1999,0,15,1103.0
2000,1,15,345.0
2000,0,15,1037.0
2001,1,15,393.0
2001,0,15,1262.0
2002,1,15,411.0
2002,0,15,1226.0
2003,1,15,413.0
2003,0,15,1259.0
2004,1,15,403.0
2004,0,15,1275.0
2005,1,15,405.0
2005,0,15,1247.0
2006,1,15,387.0
2006,0,15,1293.0
2007,1,15,379.0
2007,0,15,1267.0
2008,1,15,398.0
2008,0,15,1375.0
2009,1,15,343.0
2009,0,15,1270.0
2010,1,15,368.0
2010,0,15,1288.0
2011,1,15,413.0
2011,0,15,1335.0
2012,1,15,383.0
2012,0,15,1313.0
2013,1,15,362.0
2013,0,15,1317.0
2014,1,15,371.0
2014,0,15,1358.0
2015,1,15,397.0
2015,0,15,1389.0
1981,1,15,0.0
1981,0,15,0.0
1982,1,15,0.0
1982,0,15,0.0
1983,1,15,0.0
1983,0,15,0.0
1984,1,15,0.0
1984,0,15,0.0
1985,1,15,0.0
1985,0,15,0.0
1986,1,15,0.0
1986,0,15,0.0
1987,1,15,0.0
1987,0,15,0.0
1988,1,15,0.0
1988,0,15,0.0
1989,1,15,0.0
1989,0,15,0.0
1990,1,15,0.0
1990,0,15,0.0
1991,1,15,0.0
1991,0,15,0.0
1992,1,15,0.0
1992,0,15,0.0
1993,1,15,0.0
1993,0,15,0.0
1994,1,15,0.0
1994,0,15,0.0
1995,1,15,0.0
1995,0,15,0.0
1996,1,15,0.0
1996,0,15,0.0
1997,1,15,0.0
1997,0,15,0.0
1998,1,15,0.0
1998,0,15,0.0
1999,1,15,0.0
1999,0,15,0.0
2000,1,15,0.0
2000,0,15,0.0
2001,1,15,0.0
2001,0,15,0.0
2002,1,15,0.0
2002,0,15,0.0
2003,1,15,0.0
2003,0,15,0.0
2004,1,15,0.0
2004,0,15,0.0
2006,1,15,0.0
2006,0,15,0.0
2008,1,15,0.0
2008,0,15,0.0
2009,1,15,0.0
2009,0,15,0.0
2010,1,15,0.0
2010,0,15,0.0
1995,1,15,142.0
1995,0,15,142.0
1996,1,15,0.0
1996,0,15,2.0
1997,1,15,1.0
1997,0,15,3.0
1998,1,15,0.0
1998,0,15,5.0
1999,1,15,0.0
1999,0,15,1.0
2000,1,15,0.0
2000,0,15,1.0
2001,1,15,0.0
2001,0,15,0.0
2002,1,15,0.0
2002,0,15,1.0
2003,1,15,0.0
2003,0,15,0.0
2004,1,15,1.0
2004,0,15,0.0
2005,1,15,0.0
2005,0,15,1.0
2006,1,15,0.0
2006,0,15,2.0
2007,1,15,0.0
2007,0,15,2.0
2008,1,15,0.0
2008,0,15,0.0
2009,1,15,0.0
2009,0,15,0.0
2010,1,15,0.0
2010,0,15,1.0
2011,1,15,0.0
2011,0,15,0.0
2012,1,15,0.0
2012,0,15,2.0
2013,1,15,0.0
2013,0,15,0.0
2014,1,15,0.0
2014,0,15,1.0
2015,1,15,0.0
2015,0,15,0.0
1979,1,15,142.0
1979,0,15,142.0
1980,1,15,45.0
1980,0,15,71.0
1981,1,15,30.0
1981,0,15,57.0
1982,1,15,38.0
1982,0,15,85.0
1983,1,15,20.0
1983,0,15,47.0
1984,1,15,35.0
1984,0,15,82.0
1985,1,15,31.0
1985,0,15,77.0
1986,1,15,38.0
1986,0,15,64.0
1987,1,15,35.0
1987,0,15,81.0
1988,1,15,37.0
1988,0,15,78.0
1989,1,15,39.0
1989,0,15,69.0
1990,1,15,26.0
1990,0,15,90.0
1991,1,15,23.0
1991,0,15,80.0
1992,1,15,29.0
1992,0,15,98.0
1993,1,15,34.0
1993,0,15,97.0
1994,1,15,30.0
1994,0,15,84.0
1995,1,15,24.0
1995,0,15,87.0
1996,1,15,25.0
1996,0,15,95.0
1997,1,15,29.0
1997,0,15,88.0
1998,1,15,35.0
1998,0,15,92.0
1999,1,15,20.0
1999,0,15,74.0
2000,1,15,20.0
2000,0,15,54.0
2001,1,15,25.0
2001,0,15,63.0
2002,1,15,23.0
2002,0,15,51.0
2003,1,15,13.0
2003,0,15,49.0
2004,1,15,12.0
2004,0,15,40.0
2005,1,15,20.0
2005,0,15,39.0
2006,1,15,11.0
2006,0,15,45.0
